"id","Date","Taxon","Latitude","Longitude","stateProvince","scientificName"
27871970,"2019-06-29",522193,43.8044013977,-72.4331054688,"Vermont","Alces alces"
87750217,"2021-03-05",522193,47.9658686976,-90.1024419442,"Minnesota","Alces alces"
27875514,"2019-06-29",522193,44.8398475647,-71.0573730469,"New Hampshire","Alces alces"
48065833,"2020-05-31",522193,43.8036467605,-72.7189299837,"Vermont","Alces alces"
48066113,"2020-05-31",522193,38.40000129,-106.26243384,"Colorado","Alces alces"
67804603,"2020-09-19",522193,44.1863866667,-107.2501833333,"Wyoming","Alces alces"
87758698,"2021-07-17",522193,39.9711408594,-105.4794263177,"Colorado","Alces alces"
148263124,"2023-02-07",522193,61.1826832063,-149.8634206876,"Alaska","Alces alces"
27887631,"2019-06-28",522193,39.502203,-106.6781473,"Colorado","Alces alces"
27887632,"2019-06-28",522193,39.502203,-106.6781473,"Colorado","Alces alces"
27887634,"2019-06-28",522193,39.502203,-106.6781473,"Colorado","Alces alces"
27887785,"2019-06-29",522193,40.5941388511,-111.6311161394,"Utah","Alces alces"
7083523,"2017-07-16",522193,44.287705,-72.226805,"Vermont","Alces alces"
107508954,"2022-02-26",522193,61.2008649856,-149.8758617789,"Alaska","Alces alces"
128419419,"2022-07-28",522193,63.3184944444,-149.1494611111,"Alaska","Alces alces"
67816991,"2021-01-09",522193,43.8575504838,-110.5378142372,"Wyoming","Alces alces"
67819101,"1980-07-09",522193,43.7528014875,-110.7389537983,"Wyoming","Alces alces"
48084682,"2020-05-20",522193,44.8330824606,-71.7829542361,"Vermont","Alces alces"
7088373,"2017-07-16",522193,40.60413,-111.5905016667,"Utah","Alces alces"
67819596,"2021-01-09",522193,40.7431052111,-111.586290299,"Utah","Alces alces"
67821761,"2021-01-09",522193,46.7303226,-116.9759768,"Idaho","Alces alces"
7093007,"2017-07-16",522193,40.0021138833,-105.6407916667,"Colorado","Alces alces"
67823973,"2021-01-09",522193,43.8479894997,-110.5176148,"Wyoming","Alces alces"
87786962,"2021-07-19",522193,44.2570467625,-71.2541784137,"New Hampshire","Alces alces"
87788868,"2020-07-17",522193,40.642925,-111.5027861111,"Utah","Alces alces"
7101806,"2017-07-17",522193,66.9569352782,-150.3970382085,"Alaska","Alces alces"
148287905,"2022-06-14",852460,61.2389725438,-149.6264813009,"Alaska","Alces alces gigas"
7104672,"2017-07-17",522193,41.3516916667,-106.2509083333,"Wyoming","Alces alces"
27912174,"2017-08-13",522193,61.1530880794,-150.0360212568,"Alaska","Alces alces"
107536178,"2022-02-24",522193,44.955345,-110.5139616667,"Wyoming","Alces alces"
7108426,"2004-09-04",522193,46.276732883,-114.3281936646,"Montana","Alces alces"
7108948,"1997-02-01",522193,45.9155863896,-113.6808275518,"Montana","Alces alces"
128453743,"2022-07-20",522193,44.7588433,-107.4400009,"Wyoming","Alces alces"
148304143,"2017-08-10",522193,47.9142758173,-89.0397155285,"Michigan","Alces alces"
128462728,"2022-07-28",522193,61.220844646,-149.2750085121,"Alaska","Alces alces"
67853676,"2020-05-30",522193,43.9657666667,-115.9698033333,"Idaho","Alces alces"
67855865,"2021-01-10",522193,43.569062,-110.7332349722,"Wyoming","Alces alces"
87814713,"2021-07-19",522193,40.652129,-111.15545,"Utah","Alces alces"
67861967,"2021-01-10",522193,48.2805033333,-94.3644866667,"Minnesota","Alces alces"
27940028,"2019-06-30",522193,40.8773416667,-110.86335,"Utah","Alces alces"
67863580,"2021-01-10",522193,43.569255,-110.7331,"Wyoming","Alces alces"
48137731,"2020-05-31",522193,41.348878,-106.161385,"Wyoming","Alces alces"
48138898,"2020-05-31",522193,41.3463184437,-106.1871693923,"Wyoming","Alces alces"
67866330,"2021-01-10",522193,43.9292985714,-72.3613318428,"Vermont","Alces alces"
128481028,"2022-07-28",522193,44.38,-71.4161216667,"New Hampshire","Alces alces"
27954169,"2019-06-30",522193,44.764511,-71.7405807,"Vermont","Alces alces"
67877302,"2021-01-10",522193,60.804337918,-161.6399305028,"Alaska","Alces alces"
27954604,"2019-06-24",522193,63.7123366667,-149.2520616667,"Alaska","Alces alces"
48153175,"2017-12-27",522193,45.6302967813,-69.636957556,"Maine","Alces alces"
27959531,"2019-06-29",522193,40.3490666667,-105.63243,"Colorado","Alces alces"
67881123,"2020-06-05",522193,40.3834732836,-105.8491551114,"Colorado","Alces alces"
67881414,"2021-01-10",522193,43.5774182997,-110.7329605,"Wyoming","Alces alces"
67886965,"2021-01-09",522193,48.038465,-90.5340583333,"Minnesota","Alces alces"
128512478,"2022-07-16",522193,40.4040077375,-105.6202993382,"Colorado","Alces alces"
128514007,"2022-07-29",522193,44.2479387671,-72.2917858511,"Vermont","Alces alces"
27977145,"2019-06-22",522193,40.34973,-105.8577116667,"Colorado","Alces alces"
87862442,"2021-07-19",522193,45.503043556,-68.887283973,"Maine","Alces alces"
148364051,"2023-02-08",522193,61.1558088986,-150.0491116941,"Alaska","Alces alces"
7166442,"2017-07-22",522193,43.7286083333,-110.9013883333,"Wyoming","Alces alces"
27980887,"2019-06-27",522193,40.3930397034,-105.626373291,"Colorado","Alces alces"
148366315,"2023-02-07",522193,61.2029999942,-149.9068868905,"Alaska","Alces alces"
7169476,"2017-07-21",522193,40.5892540668,-111.6289901733,"Utah","Alces alces"
27982196,"2019-06-30",522193,63.7335883333,-148.8943166667,"Alaska","Alces alces"
48184618,"2020-05-24",522193,40.21943333,-105.53479667,"Colorado","Alces alces"
67911090,"2018-06-16",522193,48.7598100809,-113.7908935547,"Montana","Alces alces"
128526900,"2022-07-26",415475,39.1280915359,-106.7932957312,"Colorado","Alces alces shirasi"
67913183,"2021-01-11",522193,43.4682291238,-72.5085700303,"Vermont","Alces alces"
107619946,"2021-08-16",522193,39.3890723889,-105.9512720833,"Colorado","Alces alces"
128535611,"2017-09-10",522193,62.6593356619,-150.571075198,"Alaska","Alces alces"
87884194,"2021-07-08",522193,47.4951912988,-116.708688703,"Idaho","Alces alces"
27998967,"2018-08-09",522193,40.3523847328,-105.8579619974,"Colorado","Alces alces"
27999744,"2012-05-16",415475,44.6783928545,-111.1909062267,"Montana","Alces alces shirasi"
107640597,"2022-02-28",522193,48.9410379871,-101.417847919,"North Dakota","Alces alces"
87898366,"2021-07-18",522193,40.7053242129,-110.850629881,"Utah","Alces alces"
148401606,"2023-01-08",522193,43.11353752,-72.16691528,"New Hampshire","Alces alces"
7195617,"2017-06-19",522193,40.34922,-105.63278,"Colorado","Alces alces"
7196592,"2017-07-24",522193,40.5847583333,-111.6149483333,"Utah","Alces alces"
7196593,"2017-07-24",522193,40.57923,-111.6068033333,"Utah","Alces alces"
128554157,"2022-07-26",415475,40.6023226094,-111.5858223134,"Utah","Alces alces shirasi"
87900832,"2021-06-13",522193,45.0758962915,-70.5482515987,"Maine","Alces alces"
128558620,"2022-06-20",415475,40.41914,-111.600914,"Utah","Alces alces shirasi"
107654325,"2021-11-17",522193,47.966316926,-90.1030540035,"Minnesota","Alces alces"
107654326,"2021-11-17",522193,47.9663087955,-90.1030191348,"Minnesota","Alces alces"
107655981,"2022-02-28",522193,43.94001,-112.27432,"Idaho","Alces alces"
148420538,"2023-02-09",522193,61.2087117509,-149.9117453769,"Alaska","Alces alces"
87921773,"2021-07-12",522193,42.1649258952,-114.2690858886,"Idaho","Alces alces"
128576094,"2022-07-29",522193,63.8466388889,-149.0147527778,"Alaska","Alces alces"
148427218,"2022-10-10",415475,40.8015950027,-105.6466133333,"Colorado","Alces alces shirasi"
7220484,"2017-07-26",522193,42.6325999294,-72.9400302564,"Massachusetts","Alces alces"
148431714,"2021-10-02",852460,61.1831736376,-149.9326374844,"Alaska","Alces alces gigas"
148431715,"2021-09-12",522193,61.1581189825,-150.063089402,"Alaska","Alces alces"
28037769,"2019-07-01",522193,44.7780797791,-71.7977463479,"Vermont","Alces alces"
67966736,"2019-06-17",522193,43.660059567,-110.727915412,"Wyoming","Alces alces"
28040974,"2019-06-28",522193,61.1567805,-150.0158388833,"Alaska","Alces alces"
128589247,"2021-07-15",522193,41.9067734538,-109.8357324469,"Wyoming","Alces alces"
28042125,"2019-06-29",522193,61.7004585266,-150.0083465576,"Alaska","Alces alces"
128596785,"2022-07-23",522193,61.0893269722,-149.7512999722,"Alaska","Alces alces"
87947310,"2021-07-19",522193,43.8115887275,-110.685585022,"Wyoming","Alces alces"
87948552,"2021-07-02",522193,43.4892383333,-110.7746666667,"Wyoming","Alces alces"
87948638,"2021-07-20",522193,43.586905,-110.8285533333,"Wyoming","Alces alces"
128602851,"2022-07-23",522193,39.9933789649,-105.4982285087,"Colorado","Alces alces"
128602858,"2022-07-23",522193,39.9901780976,-105.497796341,"Colorado","Alces alces"
148460259,"2023-02-10",522193,61.2126363378,-149.9018792063,"Alaska","Alces alces"
67984862,"2021-01-12",522193,44.944223,-112.8493619722,"Montana","Alces alces"
107695190,"2014-10-17",522193,48.2036765279,-117.2752969267,"Washington","Alces alces"
128609069,"2012-06-20",852460,60.1850916667,-149.3848361111,"Alaska","Alces alces gigas"
128609587,"2022-07-29",522193,42.37162,-72.5904533333,"Massachusetts","Alces alces"
28060338,"2019-06-29",522193,62.1556358337,-150.0992736816,"Alaska","Alces alces"
28064326,"2019-07-02",522193,38.9594916667,-106.9889916667,"Colorado","Alces alces"
7251648,"2017-07-25",522193,63.7201453318,-148.9560699463,"Alaska","Alces alces"
7251649,"2017-07-25",522193,63.7201453318,-148.9560699463,"Alaska","Alces alces"
28066909,"2019-07-01",522193,47.383135,-91.184295,"Minnesota","Alces alces"
128620944,"2022-07-15",522193,43.7793338619,-110.7859992467,"Wyoming","Alces alces"
28074478,"2019-07-02",522193,43.6928688754,-73.1439766288,"Vermont","Alces alces"
7263873,"2017-07-15",522193,61.2324289418,-149.6700310707,"Alaska","Alces alces"
107721178,"2022-02-24",522193,39.5759116667,-106.4137583333,"Colorado","Alces alces"
7274541,"2017-07-30",522193,64.8836053117,-147.2236262822,"Alaska","Alces alces"
7277997,"2017-07-08",522193,44.377839,-71.525915,"New Hampshire","Alces alces"
